id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
9030,2013130,AlecOgletree20131,2013,Alec Ogletree,Alec,Ogletree,ILB,74,6,2,242,33.5,10,4.7,,1.6,4.39,7.16,33.5,122,20,1,Georgia,30,30,
9031,,KevinReddick2013,2013,Kevin Reddick,Kevin,Reddick,ILB,73,6,1,243,32.25,9.75,4.72,,1.57,,,,113,23,,,,,
9032,,JonathanStewart2013,2013,Jonathan Stewart,Jonathan,Stewart,ILB,76,6,4,242,32.625,9.375,4.68,,1.61,4.53,7.44,31,118,19,,,,,
9033,2013238,MantiTeo20132,2013,Manti Teo,Manti,Teo,ILB,73,6,1,241,32.5,9.5,4.82,,1.62,4.27,7.13,33,113,,2,Notre Dame,6,38,
9034,,TomWort2013,2013,Tom Wort,Tom,Wort,ILB,72,6,,235,31,8.75,4.78,,1.66,4.51,7.41,31.5,111,21,,,,,
9035,,BraxstonCave2013,2013,Braxston Cave,Braxston,Cave,OC,75,6,3,303,32,9.375,5.33,,1.87,4.71,7.81,25.5,98,,,,,,
9036,2013131,TravisFrederick20131,2013,Travis Frederick,Travis,Frederick,OC,76,6,4,312,33,10,5.58,,1.85,4.76,7.81,28.5,97,21,1,Wisconsin,31,31,
9037,20134121,KhaledHolmes20134,2013,Khaled Holmes,Khaled,Holmes,OC,75,6,3,302,35,10.25,,,,,,,,13,4,USC,24,121,
9038,20137251,T.J.Johnson20137,2013,T.J. Johnson,T.J.,Johnson,OC,76,6,4,310,33.5,9.5,5.33,,1.83,4.74,7.83,25.5,96,32,7,South Carolina,45,251,
9039,,P.J.Lonergan2013,2013,P.J. Lonergan,P.J.,Lonergan,OC,75,6,3,304,33,10.125,5.38,,1.79,,,,,25,,,,,
9040,,JoeMadsen2013,2013,Joe Madsen,Joe,Madsen,OC,75,6,3,310,30,9.5,5.2,,1.87,4.83,7.6,25,98,25,,,,,
9041,20134107,BrianSchwenke20134,2013,Brian Schwenke,Brian,Schwenke,OC,75,6,3,314,32,10.25,4.99,,1.68,4.74,7.31,26.5,108,31,4,California,10,107,
9042,,MattStankiewitch2013,2013,Matt Stankiewitch,Matt,Stankiewitch,OC,75,6,3,302,32.5,10,5.43,,1.84,4.96,7.9,24,92,27,,,,,
9043,,ZachAllen2013,2013,Zach Allen,Zach,Allen,OG,74,6,2,332,33.5,9.875,,,,,,,,32,,,,,
9044,20136196,JeffBaca20136,2013,Jeff Baca,Jeff,Baca,OG,75,6,3,302,34.25,9.75,5.03,,1.68,4.44,7.26,26.5,100,,6,UCLA,28,196,
9045,,AlvinBailey2013,2013,Alvin Bailey,Alvin,Bailey,OG,75,6,3,312,34.75,9.375,4.95,,1.74,,,,,27,,,,,
9046,,ChrisBarker2013,2013,Chris Barker,Chris,Barker,OG,75,6,3,305,33,9.375,5.25,,1.77,4.77,8.09,27.5,99,29,,,,,
9047,20137214,TravisBond20137,2013,Travis Bond,Travis,Bond,OG,78,6,6,329,35.5,9.625,5.27,,1.8,4.96,7.85,22.5,98,22,7,North Carolina,8,214,
9048,201317,JonathanCooper20131,2013,Jonathan Cooper,Jonathan,Cooper,OG,74,6,2,311,33,10.25,5.07,,1.73,4.84,7.78,27,108,35,1,North Carolina,7,7,
9049,20137225,EricHerman20137,2013,Eric Herman,Eric,Herman,OG,76,6,4,320,32.25,10.875,5.25,,1.84,5.09,7.99,28,95,36,7,Ohio,19,225,
9050,,MarkJackson2013,2013,Mark Jackson,Mark,Jackson,OG,77,6,5,328,34.25,9.625,5.65,,1.88,5.03,8.07,20.5,91,20,,,,,
